Date_ID,Order_Date,Year_Month,Year,Month,Quarter
219,2021-02-04,2021-02,2021,2,1
220,2022-09-16,2022-09,2022,9,3
221,2022-05-06,2022-05,2022,5,2
222,2021-05-28,2021-05,2021,5,2
223,2024-07-18,2024-07,2024,7,3
224,2024-12-06,2024-12,2024,12,4
225,2024-12-06,2024-12,2024,12,4
226,2024-12-06,2024-12,2024,12,4
227,2022-12-12,2022-12,2022,12,4
228,2022-10-20,2022-10,2022,10,4
229,2022-10-20,2022-10,2022,10,4
230,2021-03-24,2021-03,2021,3,1
231,2025-01-06,2025-01,2025,1,1
232,2021-03-24,2021-03,2021,3,1
233,2025-01-06,2025-01,2025,1,1
234,2021-03-06,2021-03,2021,3,1
235,2021-03-06,2021-03,2021,3,1
236,2021-03-06,2021-03,2021,3,1
237,2020-06-17,2020-06,2020,6,2
238,2023-09-01,2023-09,2023,9,3
239,2023-06-08,2023-06,2023,6,2
240,2023-06-08,2023-06,2023,6,2
241,2021-03-25,2021-03,2021,3,1
242,2021-03-25,2021-03,2021,3,1
243,2021-01-03,2021-01,2021,1,1
244,2021-01-03,2021-01,2021,1,1
245,2024-12-27,2024-12,2024,12,4
246,2022-08-12,2022-08,2022,8,3
247,2022-03-28,2022-03,2022,3,1
248,2023-07-15,2023-07,2023,7,3
249,2022-09-22,2022-09,2022,9,3
250,2022-03-28,2022-03,2022,3,1
251,2023-07-15,2023-07,2023,7,3
252,2022-09-22,2022-09,2022,9,3
253,2022-12-20,2022-12,2022,12,4
254,2022-01-16,2022-01,2022,1,1
255,2023-01-29,2023-01,2023,1,1
256,2022-01-15,2022-01,2022,1,1
257,2022-01-15,2022-01,2022,1,1
258,2024-03-24,2024-03,2024,3,1
259,2025-02-19,2025-02,2025,2,1
260,2024-07-13,2024-07,2024,7,3
261,2023-04-28,2023-04,2023,4,2
262,2020-12-05,2020-12,2020,12,4
263,2024-05-14,2024-05,2024,5,2
264,2022-01-18,2022-01,2022,1,1
265,2023-09-18,2023-09,2023,9,3
266,2023-09-18,2023-09,2023,9,3
267,2021-05-12,2021-05,2021,5,2
268,2023-09-17,2023-09,2023,9,3
269,2021-05-12,2021-05,2021,5,2
270,2023-09-17,2023-09,2023,9,3
271,2021-05-12,2021-05,2021,5,2
272,2023-09-17,2023-09,2023,9,3
273,2024-09-06,2024-09,2024,9,3
274,2022-06-18,2022-06,2022,6,2
275,2022-06-18,2022-06,2022,6,2
276,2020-05-22,2020-05,2020,5,2
277,2024-10-17,2024-10,2024,10,4
278,2024-10-17,2024-10,2024,10,4
279,2022-03-22,2022-03,2022,3,1
280,2024-03-17,2024-03,2024,3,1
281,2024-03-17,2024-03,2024,3,1
282,2020-04-02,2020-04,2020,4,2
283,2020-04-02,2020-04,2020,4,2
284,2024-03-13,2024-03,2024,3,1
285,2024-03-13,2024-03,2024,3,1
286,2023-03-21,2023-03,2023,3,1
287,2023-03-21,2023-03,2023,3,1
288,2023-03-21,2023-03,2023,3,1
289,2024-03-02,2024-03,2024,3,1
290,2021-04-30,2021-04,2021,4,2
291,2024-03-02,2024-03,2024,3,1
292,2021-04-30,2021-04,2021,4,2
293,2021-09-15,2021-09,2021,9,3
294,2023-01-28,2023-01,2023,1,1
295,2021-09-15,2021-09,2021,9,3
296,2023-01-28,2023-01,2023,1,1
297,2021-07-08,2021-07,2021,7,3
298,2020-04-08,2020-04,2020,4,2
299,2021-07-08,2021-07,2021,7,3
300,2020-04-08,2020-04,2020,4,2
301,2022-08-23,2022-08,2022,8,3
302,2022-08-23,2022-08,2022,8,3
303,2022-12-17,2022-12,2022,12,4
304,2022-06-08,2022-06,2022,6,2
305,2022-12-17,2022-12,2022,12,4
306,2022-06-08,2022-06,2022,6,2
307,2020-08-28,2020-08,2020,8,3
308,2020-09-26,2020-09,2020,9,3
309,2020-12-13,2020-12,2020,12,4
310,2020-11-19,2020-11,2020,11,4
311,2023-09-13,2023-09,2023,9,3
312,2023-09-13,2023-09,2023,9,3
313,2023-09-13,2023-09,2023,9,3
314,2020-03-31,2020-03,2020,3,1
315,2020-10-20,2020-10,2020,10,4
316,2020-03-31,2020-03,2020,3,1
317,2020-10-20,2020-10,2020,10,4
318,2023-08-04,2023-08,2023,8,3
319,2022-04-11,2022-04,2022,4,2
320,2022-04-11,2022-04,2022,4,2
321,2022-04-11,2022-04,2022,4,2
322,2021-12-31,2021-12,2021,12,4
323,2021-12-31,2021-12,2021,12,4
324,2020-08-16,2020-08,2020,8,3
325,2025-02-02,2025-02,2025,2,1
326,2022-02-24,2022-02,2022,2,1
327,2022-02-24,2022-02,2022,2,1
328,2024-02-25,2024-02,2024,2,1
329,2021-06-15,2021-06,2021,6,2
330,2024-02-25,2024-02,2024,2,1
331,2021-06-15,2021-06,2021,6,2
332,2022-12-08,2022-12,2022,12,4
333,2023-12-09,2023-12,2023,12,4
334,2022-07-16,2022-07,2022,7,3
335,2024-05-05,2024-05,2024,5,2
336,2021-10-04,2021-10,2021,10,4
337,2021-11-20,2021-11,2021,11,4
338,2021-11-20,2021-11,2021,11,4
339,2021-11-20,2021-11,2021,11,4
340,2020-09-15,2020-09,2020,9,3
341,2020-09-15,2020-09,2020,9,3
342,2020-09-15,2020-09,2020,9,3
343,2023-01-17,2023-01,2023,1,1
344,2020-06-16,2020-06,2020,6,2
345,2024-05-01,2024-05,2024,5,2
346,2023-12-07,2023-12,2023,12,4
347,2023-12-07,2023-12,2023,12,4
348,2024-02-02,2024-02,2024,2,1
349,2024-06-23,2024-06,2024,6,2
350,2024-06-23,2024-06,2024,6,2
351,2024-06-23,2024-06,2024,6,2
352,2024-06-07,2024-06,2024,6,2
353,2023-10-13,2023-10,2023,10,4
354,2023-10-13,2023-10,2023,10,4
355,2022-10-08,2022-10,2022,10,4
356,2023-10-27,2023-10,2023,10,4
357,2021-02-09,2021-02,2021,2,1
358,2022-10-08,2022-10,2022,10,4
359,2023-10-27,2023-10,2023,10,4
360,2021-02-09,2021-02,2021,2,1
361,2022-10-08,2022-10,2022,10,4
362,2023-10-27,2023-10,2023,10,4
363,2021-02-09,2021-02,2021,2,1
364,2022-10-08,2022-10,2022,10,4
365,2023-10-27,2023-10,2023,10,4
366,2021-02-09,2021-02,2021,2,1
367,2020-11-03,2020-11,2020,11,4
368,2022-05-30,2022-05,2022,5,2
369,2022-05-30,2022-05,2022,5,2
370,2022-05-30,2022-05,2022,5,2
371,2024-06-16,2024-06,2024,6,2
372,2024-06-16,2024-06,2024,6,2
373,2024-06-16,2024-06,2024,6,2
374,2024-06-16,2024-06,2024,6,2
375,2022-07-15,2022-07,2022,7,3
376,2022-07-15,2022-07,2022,7,3
377,2021-07-18,2021-07,2021,7,3
378,2021-10-02,2021-10,2021,10,4
379,2024-04-16,2024-04,2024,4,2
380,2024-04-16,2024-04,2024,4,2
381,2020-07-09,2020-07,2020,7,3
382,2020-07-25,2020-07,2020,7,3
383,2024-01-24,2024-01,2024,1,1
384,2020-05-04,2020-05,2020,5,2
385,2021-11-13,2021-11,2021,11,4
386,2023-10-07,2023-10,2023,10,4
387,2021-10-23,2021-10,2021,10,4
388,2021-10-23,2021-10,2021,10,4
389,2022-07-18,2022-07,2022,7,3
390,2024-08-23,2024-08,2024,8,3
391,2024-08-23,2024-08,2024,8,3
392,2024-08-23,2024-08,2024,8,3
393,2020-10-28,2020-10,2020,10,4
394,2024-06-15,2024-06,2024,6,2
395,2024-12-19,2024-12,2024,12,4
396,2020-09-04,2020-09,2020,9,3
397,2022-04-16,2022-04,2022,4,2
398,2024-08-29,2024-08,2024,8,3
399,2022-01-14,2022-01,2022,1,1
400,2024-04-07,2024-04,2024,4,2
401,2022-04-24,2022-04,2022,4,2
402,2022-04-24,2022-04,2022,4,2
403,2020-08-27,2020-08,2020,8,3
404,2023-03-01,2023-03,2023,3,1
405,2023-03-01,2023-03,2023,3,1
406,2023-03-01,2023-03,2023,3,1
407,2020-10-02,2020-10,2020,10,4
408,2020-06-23,2020-06,2020,6,2
409,2023-08-21,2023-08,2023,8,3
410,2022-07-16,2022-07,2022,7,3
411,2022-08-01,2022-08,2022,8,3
412,2020-07-16,2020-07,2020,7,3
413,2020-05-02,2020-05,2020,5,2
414,2020-05-02,2020-05,2020,5,2
415,2020-05-02,2020-05,2020,5,2
416,2024-01-10,2024-01,2024,1,1
417,2020-09-30,2020-09,2020,9,3
418,2022-03-28,2022-03,2022,3,1
419,2021-01-30,2021-01,2021,1,1
420,2025-03-14,2025-03,2025,3,1
421,2021-10-26,2021-10,2021,10,4
422,2023-01-11,2023-01,2023,1,1
423,2021-10-26,2021-10,2021,10,4
424,2023-01-11,2023-01,2023,1,1
425,2021-10-31,2021-10,2021,10,4
426,2023-05-04,2023-05,2023,5,2
427,2024-08-09,2024-08,2024,8,3
428,2022-08-21,2022-08,2022,8,3
429,2022-08-21,2022-08,2022,8,3
430,2022-06-19,2022-06,2022,6,2
431,2022-06-19,2022-06,2022,6,2
432,2025-01-29,2025-01,2025,1,1
433,2025-01-29,2025-01,2025,1,1
434,2022-01-14,2022-01,2022,1,1
435,2022-01-14,2022-01,2022,1,1
436,2022-01-14,2022-01,2022,1,1
437,2023-06-15,2023-06,2023,6,2
438,2023-10-18,2023-10,2023,10,4
439,2022-06-13,2022-06,2022,6,2
440,2023-10-18,2023-10,2023,10,4
441,2022-06-13,2022-06,2022,6,2
442,2023-10-18,2023-10,2023,10,4
443,2022-06-13,2022-06,2022,6,2
444,2024-06-12,2024-06,2024,6,2
445,2024-06-12,2024-06,2024,6,2
446,2024-06-12,2024-06,2024,6,2
447,2024-06-12,2024-06,2024,6,2
448,2022-06-27,2022-06,2022,6,2
449,2022-06-27,2022-06,2022,6,2
450,2021-02-18,2021-02,2021,2,1
451,2021-02-18,2021-02,2021,2,1
452,2021-02-18,2021-02,2021,2,1
453,2023-05-29,2023-05,2023,5,2
454,2021-06-04,2021-06,2021,6,2
455,2024-01-22,2024-01,2024,1,1
456,2022-12-27,2022-12,2022,12,4
457,2024-01-22,2024-01,2024,1,1
458,2022-12-27,2022-12,2022,12,4
459,2024-01-22,2024-01,2024,1,1
460,2022-12-27,2022-12,2022,12,4
461,2024-03-30,2024-03,2024,3,1
462,2020-04-04,2020-04,2020,4,2
463,2020-04-04,2020-04,2020,4,2
464,2020-04-04,2020-04,2020,4,2
465,2023-01-22,2023-01,2023,1,1
466,2022-04-12,2022-04,2022,4,2
467,2023-12-13,2023-12,2023,12,4
468,2023-01-22,2023-01,2023,1,1
469,2022-04-12,2022-04,2022,4,2
470,2023-12-13,2023-12,2023,12,4
471,2023-05-24,2023-05,2023,5,2
472,2020-11-29,2020-11,2020,11,4
473,2021-03-24,2021-03,2021,3,1
474,2021-03-24,2021-03,2021,3,1
475,2020-08-19,2020-08,2020,8,3
476,2022-10-20,2022-10,2022,10,4
477,2023-09-20,2023-09,2023,9,3
478,2024-12-26,2024-12,2024,12,4
479,2023-09-20,2023-09,2023,9,3
480,2024-12-26,2024-12,2024,12,4
481,2021-12-03,2021-12,2021,12,4
482,2021-12-03,2021-12,2021,12,4
483,2021-09-14,2021-09,2021,9,3
484,2021-09-30,2021-09,2021,9,3
485,2021-12-22,2021-12,2021,12,4
486,2021-12-22,2021-12,2021,12,4
487,2021-12-22,2021-12,2021,12,4
488,2022-05-18,2022-05,2022,5,2
489,2020-10-08,2020-10,2020,10,4
490,2020-10-08,2020-10,2020,10,4
491,2022-08-20,2022-08,2022,8,3
492,2024-11-25,2024-11,2024,11,4
493,2022-08-20,2022-08,2022,8,3
494,2024-11-25,2024-11,2024,11,4
495,2020-09-30,2020-09,2020,9,3
496,2025-02-20,2025-02,2025,2,1
497,2022-03-20,2022-03,2022,3,1
498,2020-09-30,2020-09,2020,9,3
499,2025-02-20,2025-02,2025,2,1
500,2022-03-20,2022-03,2022,3,1
501,2025-03-07,2025-03,2025,3,1
502,2025-03-07,2025-03,2025,3,1
503,2025-03-07,2025-03,2025,3,1
504,2024-06-16,2024-06,2024,6,2
505,2020-11-21,2020-11,2020,11,4
506,2024-10-01,2024-10,2024,10,4
507,2024-07-01,2024-07,2024,7,3
508,2024-06-16,2024-06,2024,6,2
509,2020-11-21,2020-11,2020,11,4
510,2024-10-01,2024-10,2024,10,4
511,2024-07-01,2024-07,2024,7,3
512,2020-11-23,2020-11,2020,11,4
513,2023-03-18,2023-03,2023,3,1
514,2022-10-19,2022-10,2022,10,4
515,2023-08-31,2023-08,2023,8,3
516,2021-06-06,2021-06,2021,6,2
517,2022-12-21,2022-12,2022,12,4
518,2022-12-21,2022-12,2022,12,4
519,2024-02-12,2024-02,2024,2,1
520,2022-12-05,2022-12,2022,12,4
521,2022-12-05,2022-12,2022,12,4
522,2021-04-04,2021-04,2021,4,2
523,2021-02-12,2021-02,2021,2,1
524,2022-12-27,2022-12,2022,12,4
525,2024-01-19,2024-01,2024,1,1
526,2021-02-12,2021-02,2021,2,1
527,2022-12-27,2022-12,2022,12,4
528,2024-01-19,2024-01,2024,1,1
529,2022-12-25,2022-12,2022,12,4
530,2022-12-25,2022-12,2022,12,4
531,2022-12-25,2022-12,2022,12,4
532,2022-10-06,2022-10,2022,10,4
533,2020-04-27,2020-04,2020,4,2
534,2024-05-13,2024-05,2024,5,2
535,2020-04-27,2020-04,2020,4,2
536,2024-05-13,2024-05,2024,5,2
537,2020-10-23,2020-10,2020,10,4
538,2020-10-23,2020-10,2020,10,4
539,2020-10-23,2020-10,2020,10,4
540,2021-06-11,2021-06,2021,6,2
541,2021-09-08,2021-09,2021,9,3
542,2022-11-23,2022-11,2022,11,4
543,2022-10-31,2022-10,2022,10,4
544,2023-11-06,2023-11,2023,11,4
545,2023-11-12,2023-11,2023,11,4
546,2023-06-26,2023-06,2023,6,2
547,2023-09-30,2023-09,2023,9,3
548,2023-06-26,2023-06,2023,6,2
549,2023-09-30,2023-09,2023,9,3
550,2020-09-12,2020-09,2020,9,3
551,2020-09-12,2020-09,2020,9,3
552,2020-11-27,2020-11,2020,11,4
553,2022-08-25,2022-08,2022,8,3
554,2023-08-23,2023-08,2023,8,3
555,2023-10-11,2023-10,2023,10,4
556,2022-04-21,2022-04,2022,4,2
557,2023-09-14,2023-09,2023,9,3
558,2020-04-29,2020-04,2020,4,2
559,2020-12-15,2020-12,2020,12,4
560,2023-09-14,2023-09,2023,9,3
561,2020-04-29,2020-04,2020,4,2
562,2020-12-15,2020-12,2020,12,4
563,2024-07-11,2024-07,2024,7,3
564,2024-09-21,2024-09,2024,9,3
565,2025-02-02,2025-02,2025,2,1
566,2022-10-21,2022-10,2022,10,4
567,2020-10-21,2020-10,2020,10,4
568,2022-10-21,2022-10,2022,10,4
569,2020-10-21,2020-10,2020,10,4
570,2022-10-21,2022-10,2022,10,4
571,2020-10-21,2020-10,2020,10,4
572,2022-01-11,2022-01,2022,1,1
573,2021-02-17,2021-02,2021,2,1
574,2022-01-11,2022-01,2022,1,1
575,2021-02-17,2021-02,2021,2,1
576,2021-11-06,2021-11,2021,11,4
577,2022-08-30,2022-08,2022,8,3
578,2022-10-07,2022-10,2022,10,4
579,2022-10-07,2022-10,2022,10,4
580,2023-06-04,2023-06,2023,6,2
581,2023-06-04,2023-06,2023,6,2
582,2023-06-04,2023-06,2023,6,2
583,2022-05-13,2022-05,2022,5,2
584,2023-01-23,2023-01,2023,1,1
585,2021-07-25,2021-07,2021,7,3
586,2025-03-08,2025-03,2025,3,1
587,2022-12-25,2022-12,2022,12,4
588,2022-12-25,2022-12,2022,12,4
589,2022-12-25,2022-12,2022,12,4
590,2024-04-24,2024-04,2024,4,2
591,2021-12-24,2021-12,2021,12,4
592,2023-09-07,2023-09,2023,9,3
593,2021-08-10,2021-08,2021,8,3
594,2024-05-26,2024-05,2024,5,2
595,2022-02-19,2022-02,2022,2,1
596,2024-12-09,2024-12,2024,12,4
597,2023-06-01,2023-06,2023,6,2
598,2023-11-05,2023-11,2023,11,4
599,2020-06-21,2020-06,2020,6,2
600,2020-10-26,2020-10,2020,10,4
601,2022-06-06,2022-06,2022,6,2
602,2021-11-13,2021-11,2021,11,4
603,2022-06-06,2022-06,2022,6,2
604,2021-11-13,2021-11,2021,11,4
605,2021-11-11,2021-11,2021,11,4
606,2021-11-11,2021-11,2021,11,4
607,2021-07-31,2021-07,2021,7,3
608,2021-07-31,2021-07,2021,7,3
609,2024-04-13,2024-04,2024,4,2
610,2022-04-19,2022-04,2022,4,2
611,2024-03-23,2024-03,2024,3,1
612,2021-05-07,2021-05,2021,5,2
613,2021-05-07,2021-05,2021,5,2
614,2022-05-06,2022-05,2022,5,2
615,2021-08-09,2021-08,2021,8,3
616,2025-02-09,2025-02,2025,2,1
617,2024-04-23,2024-04,2024,4,2
618,2023-02-23,2023-02,2023,2,1
619,2024-06-06,2024-06,2024,6,2
620,2023-02-23,2023-02,2023,2,1
621,2024-06-06,2024-06,2024,6,2
622,2025-01-27,2025-01,2025,1,1
623,2023-04-07,2023-04,2023,4,2
624,2022-01-20,2022-01,2022,1,1
625,2022-05-10,2022-05,2022,5,2
626,2024-05-29,2024-05,2024,5,2
627,2022-01-04,2022-01,2022,1,1
628,2024-05-02,2024-05,2024,5,2
629,2021-12-28,2021-12,2021,12,4
630,2022-12-12,2022-12,2022,12,4
631,2023-08-17,2023-08,2023,8,3
632,2021-11-29,2021-11,2021,11,4
633,2023-08-17,2023-08,2023,8,3
634,2021-11-29,2021-11,2021,11,4
635,2021-06-13,2021-06,2021,6,2
636,2022-07-04,2022-07,2022,7,3
637,2022-07-04,2022-07,2022,7,3
638,2021-06-27,2021-06,2021,6,2
639,2021-06-27,2021-06,2021,6,2
640,2023-12-04,2023-12,2023,12,4
641,2023-12-04,2023-12,2023,12,4
642,2022-08-09,2022-08,2022,8,3
643,2020-04-08,2020-04,2020,4,2
644,2020-04-08,2020-04,2020,4,2
645,2023-10-20,2023-10,2023,10,4
646,2022-02-10,2022-02,2022,2,1
647,2023-10-05,2023-10,2023,10,4
648,2022-02-10,2022-02,2022,2,1
649,2023-10-05,2023-10,2023,10,4
650,2022-09-22,2022-09,2022,9,3
651,2021-04-03,2021-04,2021,4,2
652,2021-05-03,2021-05,2021,5,2
653,2024-02-11,2024-02,2024,2,1
654,2025-02-04,2025-02,2025,2,1
655,2022-10-12,2022-10,2022,10,4
656,2022-10-12,2022-10,2022,10,4
657,2022-02-06,2022-02,2022,2,1
658,2020-11-09,2020-11,2020,11,4
659,2023-05-03,2023-05,2023,5,2
660,2022-10-04,2022-10,2022,10,4
661,2024-08-21,2024-08,2024,8,3
662,2021-11-20,2021-11,2021,11,4
663,2020-05-13,2020-05,2020,5,2
